freq : 83.33 MHz
SWR : 2.18
 Theta 	 Phi 	 Gain(dB) 	 Gain 
130 	 15 	 -2.08   	 0.62
135 	 15 	 -2.79   	 0.53
140 	 15 	 -3.64   	 0.43
145 	 15 	 -4.65   	 0.34
150 	 15 	 -5.86   	 0.26
155 	 15 	 -7.33   	 0.18
160 	 15 	 -9.19   	 0.12
165 	 15 	 -11.62   	 0.07
170 	 15 	 -15.09   	 0.03
175 	 15 	 -21.08   	 0.01
180 	 15 	 -80.83   	 0.00
0 	 20 	 -80.83   	 0.00
5 	 20 	 -21.10   	 0.01
10 	 20 	 -15.10   	 0.03
15 	 20 	 -11.62   	 0.07
20 	 20 	 -9.19   	 0.12
25 	 20 	 -7.34   	 0.18
30 	 20 	 -5.86   	 0.26
35 	 20 	 -4.65   	 0.34
40 	 20 	 -3.64   	 0.43
45 	 20 	 -2.79   	 0.53
50 	 20 	 -2.08   	 0.62
55 	 20 	 -1.48   	 0.71
60 	 20 	 -0.98   	 0.80
65 	 20 	 -0.57   	 0.88
70 	 20 	 -0.24   	 0.95
75 	 20 	 0.01   	 1.00
80 	 20 	 0.18   	 1.04
85 	 20 	 0.29   	 1.07
90 	 20 	 0.32   	 1.08
95 	 20 	 0.29   	 1.07
100 	 20 	 0.18   	 1.04
105 	 20 	 0.01   	 1.00
110 	 20 	 -0.24   	 0.95
115 	 20 	 -0.57   	 0.88
120 	 20 	 -0.98   	 0.80
125 	 20 	 -1.48   	 0.71
130 	 20 	 -2.08   	 0.62
135 	 20 	 -2.79   	 0.53
140 	 20 	 -3.64   	 0.43
145 	 20 	 -4.65   	 0.34
150 	 20 	 -5.86   	 0.26
155 	 20 	 -7.33   	 0.18
160 	 20 	 -9.19   	 0.12
165 	 20 	 -11.62   	 0.07
170 	 20 	 -15.09   	 0.03
175 	 20 	 -21.08   	 0.01
180 	 20 	 -80.83   	 0.00
0 	 25 	 -80.83   	 0.00
5 	 25 	 -21.10   	 0.01
10 	 25 	 -15.10   	 0.03
15 	 25 	 -11.62   	 0.07
20 	 25 	 -9.19   	 0.12
25 	 25 	 -7.34   	 0.18
30 	 25 	 -5.86   	 0.26
35 	 25 	 -4.65   	 0.34
40 	 25 	 -3.64   	 0.43
45 	 25 	 -2.79   	 0.53
50 	 25 	 -2.08   	 0.62
55 	 25 	 -1.48   	 0.71
60 	 25 	 -0.98   	 0.80
65 	 25 	 -0.57   	 0.88
70 	 25 	 -0.24   	 0.95
75 	 25 	 0.01   	 1.00
80 	 25 	 0.18   	 1.04
85 	 25 	 0.29   	 1.07
90 	 25 	 0.32   	 1.08
95 	 25 	 0.29   	 1.07
100 	 25 	 0.18   	 1.04
105 	 25 	 0.01   	 1.00
110 	 25 	 -0.24   	 0.95
115 	 25 	 -0.57   	 0.88
120 	 25 	 -0.98   	 0.80
125 	 25 	 -1.48   	 0.71
130 	 25 	 -2.08   	 0.62
135 	 25 	 -2.79   	 0.53
140 	 25 	 -3.64   	 0.43
145 	 25 	 -4.65   	 0.34
150 	 25 	 -5.86   	 0.26
155 	 25 	 -7.33   	 0.18
160 	 25 	 -9.19   	 0.12
165 	 25 	 -11.62   	 0.07
170 	 25 	 -15.09   	 0.03
175 	 25 	 -21.08   	 0.01
180 	 25 	 -80.83   	 0.00
0 	 30 	 -80.83   	 0.00
5 	 30 	 -21.10   	 0.01
10 	 30 	 -15.10   	 0.03
15 	 30 	 -11.62   	 0.07
20 	 30 	 -9.19   	 0.12
25 	 30 	 -7.34   	 0.18
30 	 30 	 -5.86   	 0.26
35 	 30 	 -4.65   	 0.34
40 	 30 	 -3.64   	 0.43
45 	 30 	 -2.79   	 0.53
50 	 30 	 -2.08   	 0.62
55 	 30 	 -1.48   	 0.71
60 	 30 	 -0.98   	 0.80
65 	 30 	 -0.57   	 0.88
70 	 30 	 -0.24   	 0.95
75 	 30 	 0.01   	 1.00
80 	 30 	 0.18   	 1.04
85 	 30 	 0.29   	 1.07
90 	 30 	 0.32   	 1.08
95 	 30 	 0.29   	 1.07
100 	 30 	 0.18   	 1.04
105 	 30 	 0.01   	 1.00
110 	 30 	 -0.24   	 0.95
115 	 30 	 -0.57   	 0.88
120 	 30 	 -0.98   	 0.80
125 	 30 	 -1.48   	 0.71
130 	 30 	 -2.08   	 0.62
135 	 30 	 -2.79   	 0.53
140 	 30 	 -3.64   	 0.43
145 	 30 	 -4.65   	 0.34
150 	 30 	 -5.86   	 0.26
155 	 30 	 -7.33   	 0.18
160 	 30 	 -9.19   	 0.12
165 	 30 	 -11.62   	 0.07
170 	 30 	 -15.09   	 0.03
175 	 30 	 -21.08   	 0.01
180 	 30 	 -80.83   	 0.00
0 	 35 	 -80.83   	 0.00
5 	 35 	 -21.10   	 0.01
10 	 35 	 -15.10   	 0.03
15 	 35 	 -11.62   	 0.07
20 	 35 	 -9.19   	 0.12
25 	 35 	 -7.34   	 0.18
30 	 35 	 -5.86   	 0.26
35 	 35 	 -4.65   	 0.34
40 	 35 	 -3.64   	 0.43
45 	 35 	 -2.79   	 0.53
50 	 35 	 -2.08   	 0.62
55 	 35 	 -1.48   	 0.71
60 	 35 	 -0.98   	 0.80
65 	 35 	 -0.57   	 0.88
70 	 35 	 -0.24   	 0.95
75 	 35 	 0.01   	 1.00
80 	 35 	 0.18   	 1.04
85 	 35 	 0.29   	 1.07
90 	 35 	 0.32   	 1.08
95 	 35 	 0.29   	 1.07
100 	 35 	 0.18   	 1.04
105 	 35 	 0.01   	 1.00
110 	 35 	 -0.24   	 0.95
115 	 35 	 -0.57   	 0.88
120 	 35 	 -0.98   	 0.80
125 	 35 	 -1.48   	 0.71
130 	 35 	 -2.08   	 0.62
135 	 35 	 -2.79   	 0.53
140 	 35 	 -3.64   	 0.43
145 	 35 	 -4.65   	 0.34
150 	 35 	 -5.86   	 0.26
155 	 35 	 -7.33   	 0.18
160 	 35 	 -9.18   	 0.12
165 	 35 	 -11.62   	 0.07
170 	 35 	 -15.09   	 0.03
175 	 35 	 -21.08   	 0.01
180 	 35 	 -80.83   	 0.00
0 	 40 	 -80.83   	 0.00
5 	 40 	 -21.10   	 0.01
10 	 40 	 -15.10   	 0.03
15 	 40 	 -11.62   	 0.07
20 	 40 	 -9.19   	 0.12
25 	 40 	 -7.33   	 0.18
30 	 40 	 -5.86   	 0.26
35 	 40 	 -4.65   	 0.34
40 	 40 	 -3.64   	 0.43
45 	 40 	 -2.79   	 0.53
50 	 40 	 -2.08   	 0.62
55 	 40 	 -1.48   	 0.71
60 	 40 	 -0.98   	 0.80
65 	 40 	 -0.57   	 0.88
70 	 40 	 -0.24   	 0.95
75 	 40 	 0.01   	 1.00
80 	 40 	 0.18   	 1.04
85 	 40 	 0.29   	 1.07
90 	 40 	 0.32   	 1.08
95 	 40 	 0.29   	 1.07
100 	 40 	 0.18   	 1.04
105 	 40 	 0.01   	 1.00
110 	 40 	 -0.24   	 0.95
115 	 40 	 -0.57   	 0.88
120 	 40 	 -0.98   	 0.80
125 	 40 	 -1.48   	 0.71
130 	 40 	 -2.08   	 0.62
135 	 40 	 -2.79   	 0.53
140 	 40 	 -3.64   	 0.43
145 	 40 	 -4.65   	 0.34
150 	 40 	 -5.86   	 0.26
155 	 40 	 -7.33   	 0.18
160 	 40 	 -9.18   	 0.12
165 	 40 	 -11.62   	 0.07
170 	 40 	 -15.09   	 0.03
175 	 40 	 -21.08   	 0.01
180 	 40 	 -80.83   	 0.00
0 	 45 	 -80.83   	 0.00
5 	 45 	 -21.09   	 0.01
10 	 45 	 -15.10   	 0.03
15 	 45 	 -11.62   	 0.07
20 	 45 	 -9.19   	 0.12
25 	 45 	 -7.33   	 0.18
30 	 45 	 -5.86   	 0.26
35 	 45 	 -4.65   	 0.34
40 	 45 	 -3.64   	 0.43
45 	 45 	 -2.79   	 0.53
50 	 45 	 -2.08   	 0.62
55 	 45 	 -1.48   	 0.71
60 	 45 	 -0.98   	 0.80
65 	 45 	 -0.57   	 0.88
70 	 45 	 -0.24   	 0.95
75 	 45 	 0.01   	 1.00
80 	 45 	 0.18   	 1.04
85 	 45 	 0.29   	 1.07
90 	 45 	 0.33   	 1.08
95 	 45 	 0.29   	 1.07
100 	 45 	 0.18   	 1.04
105 	 45 	 0.01   	 1.00
110 	 45 	 -0.24   	 0.95
115 	 45 	 -0.57   	 0.88
120 	 45 	 -0.98   	 0.80
125 	 45 	 -1.48   	 0.71
130 	 45 	 -2.08   	 0.62
135 	 45 	 -2.79   	 0.53
140 	 45 	 -3.64   	 0.43
145 	 45 	 -4.64   	 0.34
150 	 45 	 -5.85   	 0.26
155 	 45 	 -7.33   	 0.18
160 	 45 	 -9.18   	 0.12
165 	 45 	 -11.62   	 0.07
170 	 45 	 -15.09   	 0.03
175 	 45 	 -21.08   	 0.01
180 	 45 	 -80.83   	 0.00
0 	 50 	 -80.83   	 0.00
5 	 50 	 -21.09   	 0.01
10 	 50 	 -15.10   	 0.03
15 	 50 	 -11.62   	 0.07
20 	 50 	 -9.19   	 0.12
25 	 50 	 -7.33   	 0.18
30 	 50 	 -5.86   	 0.26
35 	 50 	 -4.65   	 0.34
40 	 50 	 -3.64   	 0.43
45 	 50 	 -2.79   	 0.53
50 	 50 	 -2.08   	 0.62
55 	 50 	 -1.48   	 0.71
60 	 50 	 -0.98   	 0.80
65 	 50 	 -0.57   	 0.88
70 	 50 	 -0.24   	 0.95
75 	 50 	 0.01   	 1.00
80 	 50 	 0.19   	 1.04
85 	 50 	 0.29   	 1.07
90 	 50 	 0.33   	 1.08
95 	 50 	 0.29   	 1.07
100 	 50 	 0.19   	 1.04
105 	 50 	 0.01   	 1.00
110 	 50 	 -0.24   	 0.95
115 	 50 	 -0.57   	 0.88
120 	 50 	 -0.98   	 0.80
125 	 50 	 -1.48   	 0.71
130 	 50 	 -2.08   	 0.62
135 	 50 	 -2.79   	 0.53
140 	 50 	 -3.64   	 0.43
145 	 50 	 -4.64   	 0.34
150 	 50 	 -5.85   	 0.26
155 	 50 	 -7.33   	 0.18
160 	 50 	 -9.18   	 0.12
165 	 50 	 -11.62   	 0.07
170 	 50 	 -15.09   	 0.03
175 	 50 	 -21.08   	 0.01
180 	 50 	 -80.83   	 0.00
0 	 55 	 -80.83   	 0.00
5 	 55 	 -21.09   	 0.01
10 	 55 	 -15.10   	 0.03
15 	 55 	 -11.62   	 0.07
20 	 55 	 -9.19   	 0.12
25 	 55 	 -7.33   	 0.18
30 	 55 	 -5.86   	 0.26
35 	 55 	 -4.65   	 0.34
40 	 55 	 -3.64   	 0.43
45 	 55 	 -2.79   	 0.53
50 	 55 	 -2.08   	 0.62
55 	 55 	 -1.48   	 0.71
60 	 55 	 -0.98   	 0.80
65 	 55 	 -0.57   	 0.88
70 	 55 	 -0.24   	 0.95
75 	 55 	 0.01   	 1.00
80 	 55 	 0.19   	 1.04
85 	 55 	 0.29   	 1.07
90 	 55 	 0.33   	 1.08
95 	 55 	 0.29   	 1.07
100 	 55 	 0.19   	 1.04
105 	 55 	 0.01   	 1.00
110 	 55 	 -0.24   	 0.95
115 	 55 	 -0.57   	 0.88
120 	 55 	 -0.98   	 0.80
125 	 55 	 -1.48   	 0.71
130 	 55 	 -2.08   	 0.62
135 	 55 	 -2.79   	 0.53
140 	 55 	 -3.64   	 0.43
145 	 55 	 -4.64   	 0.34
150 	 55 	 -5.85   	 0.26
155 	 55 	 -7.33   	 0.18
160 	 55 	 -9.18   	 0.12
165 	 55 	 -11.62   	 0.07
170 	 55 	 -15.09   	 0.03
175 	 55 	 -21.08   	 0.01
180 	 55 	 -80.83   	 0.00
0 	 60 	 -80.83   	 0.00
5 	 60 	 -21.09   	 0.01
10 	 60 	 -15.10   	 0.03
15 	 60 	 -11.62   	 0.07
20 	 60 	 -9.19   	 0.12
25 	 60 	 -7.33   	 0.18
30 	 60 	 -5.85   	 0.26
35 	 60 	 -4.64   	 0.34
40 	 60 	 -3.64   	 0.43
45 	 60 	 -2.79   	 0.53
50 	 60 	 -2.08   	 0.62
55 	 60 	 -1.48   	 0.71
60 	 60 	 -0.98   	 0.80
65 	 60 	 -0.57   	 0.88
70 	 60 	 -0.24   	 0.95
75 	 60 	 0.01   	 1.00
80 	 60 	 0.19   	 1.04
85 	 60 	 0.29   	 1.07
90 	 60 	 0.33   	 1.08
95 	 60 	 0.29   	 1.07
100 	 60 	 0.19   	 1.04
105 	 60 	 0.01   	 1.00
110 	 60 	 -0.24   	 0.95
115 	 60 	 -0.57   	 0.88
120 	 60 	 -0.98   	 0.80
125 	 60 	 -1.48   	 0.71
130 	 60 	 -2.08   	 0.62
135 	 60 	 -2.79   	 0.53
140 	 60 	 -3.64   	 0.43
145 	 60 	 -4.64   	 0.34
150 	 60 	 -5.85   	 0.26
155 	 60 	 -7.33   	 0.18
160 	 60 	 -9.18   	 0.12
165 	 60 	 -11.62   	 0.07
170 	 60 	 -15.09   	 0.03
175 	 60 	 -21.08   	 0.01
180 	 60 	 -80.83   	 0.00
0 	 65 	 -80.83   	 0.00
5 	 65 	 -21.09   	 0.01
10 	 65 	 -15.09   	 0.03
15 	 65 	 -11.62   	 0.07
20 	 65 	 -9.18   	 0.12
25 	 65 	 -7.33   	 0.18
30 	 65 	 -5.85   	 0.26
35 	 65 	 -4.64   	 0.34
40 	 65 	 -3.64   	 0.43
45 	 65 	 -2.79   	 0.53
50 	 65 	 -2.08   	 0.62
55 	 65 	 -1.48   	 0.71
60 	 65 	 -0.98   	 0.80
65 	 65 	 -0.57   	 0.88
70 	 65 	 -0.24   	 0.95
75 	 65 	 0.01   	 1.00
80 	 65 	 0.19   	 1.04
85 	 65 	 0.29   	 1.07
90 	 65 	 0.33   	 1.08
95 	 65 	 0.29   	 1.07
100 	 65 	 0.19   	 1.04
105 	 65 	 0.01   	 1.00
110 	 65 	 -0.24   	 0.95
115 	 65 	 -0.57   	 0.88
120 	 65 	 -0.98   	 0.80
125 	 65 	 -1.48   	 0.71
130 	 65 	 -2.08   	 0.62
135 	 65 	 -2.79   	 0.53
140 	 65 	 -3.64   	 0.43
145 	 65 	 -4.64   	 0.34
150 	 65 	 -5.85   	 0.26
155 	 65 	 -7.33   	 0.18
160 	 65 	 -9.18   	 0.12
165 	 65 	 -11.62   	 0.07
170 	 65 	 -15.09   	 0.03
175 	 65 	 -21.08   	 0.01
180 	 65 	 -80.83   	 0.00
0 	 70 	 -80.83   	 0.00
5 	 70 	 -21.09   	 0.01
10 	 70 	 -15.09   	 0.03
15 	 70 	 -11.62   	 0.07
20 	 70 	 -9.18   	 0.12
25 	 70 	 -7.33   	 0.18
30 	 70 	 -5.85   	 0.26
35 	 70 	 -4.64   	 0.34
40 	 70 	 -3.64   	 0.43
45 	 70 	 -2.79   	 0.53
50 	 70 	 -2.08   	 0.62
55 	 70 	 -1.48   	 0.71
60 	 70 	 -0.98   	 0.80
65 	 70 	 -0.57   	 0.88
70 	 70 	 -0.24   	 0.95
75 	 70 	 0.01   	 1.00
80 	 70 	 0.19   	 1.04
85 	 70 	 0.29   	 1.07
90 	 70 	 0.33   	 1.08
95 	 70 	 0.29   	 1.07
100 	 70 	 0.19   	 1.04
105 	 70 	 0.01   	 1.00
110 	 70 	 -0.24   	 0.95
115 	 70 	 -0.57   	 0.88
120 	 70 	 -0.98   	 0.80
125 	 70 	 -1.48   	 0.71
130 	 70 	 -2.08   	 0.62
135 	 70 	 -2.79   	 0.53
140 	 70 	 -3.64   	 0.43
145 	 70 	 -4.64   	 0.34
150 	 70 	 -5.85   	 0.26
155 	 70 	 -7.33   	 0.18
160 	 70 	 -9.18   	 0.12
165 	 70 	 -11.62   	 0.07
170 	 70 	 -15.09   	 0.03
175 	 70 	 -21.08   	 0.01
180 	 70 	 -80.83   	 0.00
0 	 75 	 -80.83   	 0.00
5 	 75 	 -21.09   	 0.01
10 	 75 	 -15.09   	 0.03
15 	 75 	 -11.62   	 0.07
20 	 75 	 -9.18   	 0.12
25 	 75 	 -7.33   	 0.18
30 	 75 	 -5.85   	 0.26
35 	 75 	 -4.64   	 0.34
40 	 75 	 -3.64   	 0.43
45 	 75 	 -2.79   	 0.53
50 	 75 	 -2.08   	 0.62
55 	 75 	 -1.48   	 0.71
60 	 75 	 -0.98   	 0.80
65 	 75 	 -0.57   	 0.88
70 	 75 	 -0.24   	 0.95
75 	 75 	 0.01   	 1.00
80 	 75 	 0.19   	 1.04
85 	 75 	 0.29   	 1.07
90 	 75 	 0.33   	 1.08
95 	 75 	 0.29   	 1.07
100 	 75 	 0.19   	 1.04
105 	 75 	 0.01   	 1.00
110 	 75 	 -0.24   	 0.95
115 	 75 	 -0.57   	 0.88
120 	 75 	 -0.98   	 0.80
125 	 75 	 -1.48   	 0.71
130 	 75 	 -2.08   	 0.62
135 	 75 	 -2.79   	 0.53
140 	 75 	 -3.63   	 0.43
145 	 75 	 -4.64   	 0.34
150 	 75 	 -5.85   	 0.26
155 	 75 	 -7.33   	 0.18
160 	 75 	 -9.18   	 0.12
165 	 75 	 -11.62   	 0.07
170 	 75 	 -15.09   	 0.03
175 	 75 	 -21.08   	 0.01
180 	 75 	 -80.83   	 0.00
0 	 80 	 -80.83   	 0.00
5 	 80 	 -21.09   	 0.01
10 	 80 	 -15.09   	 0.03
15 	 80 	 -11.62   	 0.07
20 	 80 	 -9.18   	 0.12
25 	 80 	 -7.33   	 0.18
30 	 80 	 -5.85   	 0.26
35 	 80 	 -4.64   	 0.34
40 	 80 	 -3.64   	 0.43
45 	 80 	 -2.79   	 0.53
50 	 80 	 -2.08   	 0.62
55 	 80 	 -1.48   	 0.71
60 	 80 	 -0.98   	 0.80
65 	 80 	 -0.57   	 0.88
70 	 80 	 -0.24   	 0.95
75 	 80 	 0.01   	 1.00
80 	 80 	 0.19   	 1.04
85 	 80 	 0.29   	 1.07
90 	 80 	 0.33   	 1.08
95 	 80 	 0.29   	 1.07
100 	 80 	 0.19   	 1.04
105 	 80 	 0.01   	 1.00
110 	 80 	 -0.24   	 0.95
115 	 80 	 -0.57   	 0.88
120 	 80 	 -0.98   	 0.80
125 	 80 	 -1.48   	 0.71
130 	 80 	 -2.08   	 0.62
135 	 80 	 -2.79   	 0.53
140 	 80 	 -3.63   	 0.43
145 	 80 	 -4.64   	 0.34
150 	 80 	 -5.85   	 0.26
155 	 80 	 -7.33   	 0.18
160 	 80 	 -9.18   	 0.12
165 	 80 	 -11.62   	 0.07
170 	 80 	 -15.09   	 0.03
175 	 80 	 -21.08   	 0.01
180 	 80 	 -80.83   	 0.00
0 	 85 	 -80.83   	 0.00
5 	 85 	 -21.09   	 0.01
10 	 85 	 -15.09   	 0.03
15 	 85 	 -11.62   	 0.07
20 	 85 	 -9.18   	 0.12
25 	 85 	 -7.33   	 0.18
30 	 85 	 -5.85   	 0.26
35 	 85 	 -4.64   	 0.34
40 	 85 	 -3.63   	 0.43
45 	 85 	 -2.79   	 0.53
50 	 85 	 -2.08   	 0.62
55 	 85 	 -1.48   	 0.71
60 	 85 	 -0.98   	 0.80
65 	 85 	 -0.57   	 0.88
70 	 85 	 -0.24   	 0.95
75 	 85 	 0.01   	 1.00
80 	 85 	 0.19   	 1.04
85 	 85 	 0.29   	 1.07
90 	 85 	 0.33   	 1.08
95 	 85 	 0.29   	 1.07
100 	 85 	 0.19   	 1.04
105 	 85 	 0.01   	 1.00
110 	 85 	 -0.24   	 0.95
115 	 85 	 -0.57   	 0.88
120 	 85 	 -0.98   	 0.80
125 	 85 	 -1.48   	 0.71
130 	 85 	 -2.08   	 0.62
135 	 85 	 -2.79   	 0.53
140 	 85 	 -3.63   	 0.43
145 	 85 	 -4.64   	 0.34
150 	 85 	 -5.85   	 0.26
155 	 85 	 -7.33   	 0.18
160 	 85 	 -9.18   	 0.12
165 	 85 	 -11.62   	 0.07
170 	 85 	 -15.09   	 0.03
175 	 85 	 -21.08   	 0.01
180 	 85 	 -80.83   	 0.00
0 	 90 	 -80.83   	 0.00
5 	 90 	 -21.08   	 0.01
10 	 90 	 -15.09   	 0.03
15 	 90 	 -11.62   	 0.07
20 	 90 	 -9.18   	 0.12
25 	 90 	 -7.33   	 0.18
30 	 90 	 -5.85   	 0.26
35 	 90 	 -4.64   	 0.34
40 	 90 	 -3.63   	 0.43
45 	 90 	 -2.79   	 0.53
50 	 90 	 -2.08   	 0.62
55 	 90 	 -1.48   	 0.71
60 	 90 	 -0.98   	 0.80
65 	 90 	 -0.57   	 0.88
70 	 90 	 -0.24   	 0.95
75 	 90 	 0.01   	 1.00
80 	 90 	 0.19   	 1.04
85 	 90 	 0.29   	 1.07
90 	 90 	 0.33   	 1.08
95 	 90 	 0.29   	 1.07
100 	 90 	 0.19   	 1.04
105 	 90 	 0.01   	 1.00
110 	 90 	 -0.24   	 0.95
115 	 90 	 -0.57   	 0.88
120 	 90 	 -0.98   	 0.80
125 	 90 	 -1.48   	 0.71
130 	 90 	 -2.08   	 0.62
135 	 90 	 -2.79   	 0.53
140 	 90 	 -3.63   	 0.43
145 	 90 	 -4.64   	 0.34
150 	 90 	 -5.85   	 0.26
155 	 90 	 -7.33   	 0.18
160 	 90 	 -9.18   	 0.12
165 	 90 	 -11.62   	 0.07
170 	 90 	 -15.09   	 0.03
175 	 90 	 -21.08   	 0.01
180 	 90 	 -80.83   	 0.00
0 	 95 	 -80.83   	 0.00
5 	 95 	 -21.08   	 0.01
10 	 95 	 -15.09   	 0.03
15 	 95 	 -11.62   	 0.07
20 	 95 	 -9.18   	 0.12
25 	 95 	 -7.33   	 0.18
30 	 95 	 -5.85   	 0.26
35 	 95 	 -4.64   	 0.34
40 	 95 	 -3.63   	 0.43
45 	 95 	 -2.79   	 0.53
50 	 95 	 -2.08   	 0.62
55 	 95 	 -1.48   	 0.71
60 	 95 	 -0.98   	 0.80
65 	 95 	 -0.57   	 0.88
70 	 95 	 -0.24   	 0.95
75 	 95 	 0.01   	 1.00
80 	 95 	 0.19   	 1.04
85 	 95 	 0.29   	 1.07
90 	 95 	 0.33   	 1.08
95 	 95 	 0.29   	 1.07
100 	 95 	 0.19   	 1.04
105 	 95 	 0.01   	 1.00
110 	 95 	 -0.24   	 0.95
115 	 95 	 -0.57   	 0.88
120 	 95 	 -0.98   	 0.80
125 	 95 	 -1.48   	 0.71
130 	 95 	 -2.08   	 0.62
135 	 95 	 -2.79   	 0.53
140 	 95 	 -3.63   	 0.43
145 	 95 	 -4.64   	 0.34
150 	 95 	 -5.85   	 0.26
155 	 95 	 -7.33   	 0.18
160 	 95 	 -9.18   	 0.12
165 	 95 	 -11.62   	 0.07
170 	 95 	 -15.09   	 0.03
175 	 95 	 -21.09   	 0.01
