freq : 83.33 MHz
SWR : 1.80
 Theta 	 Phi 	 Gain(dB) 	 Gain 
15 	 10 	 -10.15   	 0.10
20 	 10 	 -7.71   	 0.17
25 	 10 	 -5.86   	 0.26
30 	 10 	 -4.39   	 0.36
35 	 10 	 -3.18   	 0.48
40 	 10 	 -2.17   	 0.61
45 	 10 	 -1.33   	 0.74
50 	 10 	 -0.61   	 0.87
55 	 10 	 -0.01   	 1.00
60 	 10 	 0.49   	 1.12
65 	 10 	 0.90   	 1.23
70 	 10 	 1.22   	 1.32
75 	 10 	 1.47   	 1.40
80 	 10 	 1.65   	 1.46
85 	 10 	 1.75   	 1.50
90 	 10 	 1.79   	 1.51
95 	 10 	 1.75   	 1.50
100 	 10 	 1.65   	 1.46
105 	 10 	 1.47   	 1.40
110 	 10 	 1.22   	 1.32
115 	 10 	 0.90   	 1.23
120 	 10 	 0.49   	 1.12
125 	 10 	 -0.01   	 1.00
130 	 10 	 -0.61   	 0.87
135 	 10 	 -1.33   	 0.74
140 	 10 	 -2.17   	 0.61
145 	 10 	 -3.18   	 0.48
150 	 10 	 -4.39   	 0.36
155 	 10 	 -5.86   	 0.26
160 	 10 	 -7.71   	 0.17
165 	 10 	 -10.15   	 0.10
170 	 10 	 -13.62   	 0.04
175 	 10 	 -19.61   	 0.01
180 	 10 	 -999.99   	 0.00
0 	 15 	 -999.99   	 0.00
5 	 15 	 -19.61   	 0.01
10 	 15 	 -13.62   	 0.04
15 	 15 	 -10.15   	 0.10
20 	 15 	 -7.71   	 0.17
25 	 15 	 -5.86   	 0.26
30 	 15 	 -4.39   	 0.36
35 	 15 	 -3.18   	 0.48
40 	 15 	 -2.17   	 0.61
45 	 15 	 -1.33   	 0.74
50 	 15 	 -0.61   	 0.87
55 	 15 	 -0.01   	 1.00
60 	 15 	 0.49   	 1.12
65 	 15 	 0.90   	 1.23
70 	 15 	 1.22   	 1.32
75 	 15 	 1.47   	 1.40
80 	 15 	 1.65   	 1.46
85 	 15 	 1.75   	 1.50
90 	 15 	 1.79   	 1.51
95 	 15 	 1.75   	 1.50
100 	 15 	 1.65   	 1.46
105 	 15 	 1.47   	 1.40
110 	 15 	 1.22   	 1.32
115 	 15 	 0.90   	 1.23
120 	 15 	 0.49   	 1.12
125 	 15 	 -0.01   	 1.00
130 	 15 	 -0.61   	 0.87
135 	 15 	 -1.33   	 0.74
140 	 15 	 -2.17   	 0.61
145 	 15 	 -3.18   	 0.48
150 	 15 	 -4.39   	 0.36
155 	 15 	 -5.86   	 0.26
160 	 15 	 -7.71   	 0.17
165 	 15 	 -10.15   	 0.10
170 	 15 	 -13.62   	 0.04
175 	 15 	 -19.61   	 0.01
180 	 15 	 -999.99   	 0.00
0 	 20 	 -999.99   	 0.00
5 	 20 	 -19.61   	 0.01
10 	 20 	 -13.62   	 0.04
15 	 20 	 -10.15   	 0.10
20 	 20 	 -7.71   	 0.17
25 	 20 	 -5.86   	 0.26
30 	 20 	 -4.39   	 0.36
35 	 20 	 -3.18   	 0.48
40 	 20 	 -2.17   	 0.61
45 	 20 	 -1.33   	 0.74
50 	 20 	 -0.61   	 0.87
55 	 20 	 -0.01   	 1.00
60 	 20 	 0.49   	 1.12
65 	 20 	 0.90   	 1.23
70 	 20 	 1.22   	 1.32
75 	 20 	 1.47   	 1.40
80 	 20 	 1.65   	 1.46
85 	 20 	 1.75   	 1.50
90 	 20 	 1.79   	 1.51
95 	 20 	 1.75   	 1.50
100 	 20 	 1.65   	 1.46
105 	 20 	 1.47   	 1.40
110 	 20 	 1.22   	 1.32
115 	 20 	 0.90   	 1.23
120 	 20 	 0.49   	 1.12
125 	 20 	 -0.01   	 1.00
130 	 20 	 -0.61   	 0.87
135 	 20 	 -1.33   	 0.74
140 	 20 	 -2.17   	 0.61
145 	 20 	 -3.18   	 0.48
150 	 20 	 -4.39   	 0.36
155 	 20 	 -5.86   	 0.26
160 	 20 	 -7.71   	 0.17
165 	 20 	 -10.15   	 0.10
170 	 20 	 -13.62   	 0.04
175 	 20 	 -19.61   	 0.01
180 	 20 	 -999.99   	 0.00
0 	 25 	 -999.99   	 0.00
5 	 25 	 -19.61   	 0.01
10 	 25 	 -13.62   	 0.04
15 	 25 	 -10.15   	 0.10
20 	 25 	 -7.71   	 0.17
25 	 25 	 -5.86   	 0.26
30 	 25 	 -4.39   	 0.36
35 	 25 	 -3.18   	 0.48
40 	 25 	 -2.17   	 0.61
45 	 25 	 -1.33   	 0.74
50 	 25 	 -0.61   	 0.87
55 	 25 	 -0.01   	 1.00
60 	 25 	 0.49   	 1.12
65 	 25 	 0.90   	 1.23
70 	 25 	 1.22   	 1.32
75 	 25 	 1.47   	 1.40
80 	 25 	 1.65   	 1.46
85 	 25 	 1.75   	 1.50
90 	 25 	 1.79   	 1.51
95 	 25 	 1.75   	 1.50
100 	 25 	 1.65   	 1.46
105 	 25 	 1.47   	 1.40
110 	 25 	 1.22   	 1.32
115 	 25 	 0.90   	 1.23
120 	 25 	 0.49   	 1.12
125 	 25 	 -0.01   	 1.00
130 	 25 	 -0.61   	 0.87
135 	 25 	 -1.33   	 0.74
140 	 25 	 -2.17   	 0.61
145 	 25 	 -3.18   	 0.48
150 	 25 	 -4.39   	 0.36
155 	 25 	 -5.86   	 0.26
160 	 25 	 -7.71   	 0.17
165 	 25 	 -10.15   	 0.10
170 	 25 	 -13.62   	 0.04
175 	 25 	 -19.61   	 0.01
180 	 25 	 -999.99   	 0.00
0 	 30 	 -999.99   	 0.00
5 	 30 	 -19.61   	 0.01
10 	 30 	 -13.62   	 0.04
15 	 30 	 -10.15   	 0.10
20 	 30 	 -7.71   	 0.17
25 	 30 	 -5.86   	 0.26
30 	 30 	 -4.39   	 0.36
35 	 30 	 -3.18   	 0.48
40 	 30 	 -2.17   	 0.61
45 	 30 	 -1.33   	 0.74
50 	 30 	 -0.61   	 0.87
55 	 30 	 -0.01   	 1.00
60 	 30 	 0.49   	 1.12
65 	 30 	 0.90   	 1.23
70 	 30 	 1.22   	 1.32
75 	 30 	 1.47   	 1.40
80 	 30 	 1.65   	 1.46
85 	 30 	 1.75   	 1.50
90 	 30 	 1.79   	 1.51
95 	 30 	 1.75   	 1.50
100 	 30 	 1.65   	 1.46
105 	 30 	 1.47   	 1.40
110 	 30 	 1.22   	 1.32
115 	 30 	 0.90   	 1.23
120 	 30 	 0.49   	 1.12
125 	 30 	 -0.01   	 1.00
130 	 30 	 -0.61   	 0.87
135 	 30 	 -1.33   	 0.74
140 	 30 	 -2.17   	 0.61
145 	 30 	 -3.18   	 0.48
150 	 30 	 -4.39   	 0.36
155 	 30 	 -5.86   	 0.26
160 	 30 	 -7.71   	 0.17
165 	 30 	 -10.15   	 0.10
170 	 30 	 -13.62   	 0.04
175 	 30 	 -19.61   	 0.01
180 	 30 	 -999.99   	 0.00
0 	 35 	 -999.99   	 0.00
5 	 35 	 -19.61   	 0.01
10 	 35 	 -13.62   	 0.04
15 	 35 	 -10.15   	 0.10
20 	 35 	 -7.71   	 0.17
25 	 35 	 -5.86   	 0.26
30 	 35 	 -4.39   	 0.36
35 	 35 	 -3.18   	 0.48
40 	 35 	 -2.17   	 0.61
45 	 35 	 -1.33   	 0.74
50 	 35 	 -0.61   	 0.87
55 	 35 	 -0.01   	 1.00
60 	 35 	 0.49   	 1.12
65 	 35 	 0.90   	 1.23
70 	 35 	 1.22   	 1.32
75 	 35 	 1.47   	 1.40
80 	 35 	 1.65   	 1.46
85 	 35 	 1.75   	 1.50
90 	 35 	 1.79   	 1.51
95 	 35 	 1.75   	 1.50
100 	 35 	 1.65   	 1.46
105 	 35 	 1.47   	 1.40
110 	 35 	 1.22   	 1.32
115 	 35 	 0.90   	 1.23
120 	 35 	 0.49   	 1.12
125 	 35 	 -0.01   	 1.00
130 	 35 	 -0.61   	 0.87
135 	 35 	 -1.33   	 0.74
140 	 35 	 -2.17   	 0.61
145 	 35 	 -3.18   	 0.48
150 	 35 	 -4.39   	 0.36
155 	 35 	 -5.86   	 0.26
160 	 35 	 -7.71   	 0.17
165 	 35 	 -10.15   	 0.10
170 	 35 	 -13.62   	 0.04
175 	 35 	 -19.61   	 0.01
180 	 35 	 -999.99   	 0.00
0 	 40 	 -999.99   	 0.00
5 	 40 	 -19.61   	 0.01
10 	 40 	 -13.62   	 0.04
15 	 40 	 -10.15   	 0.10
20 	 40 	 -7.71   	 0.17
25 	 40 	 -5.86   	 0.26
30 	 40 	 -4.39   	 0.36
35 	 40 	 -3.18   	 0.48
40 	 40 	 -2.17   	 0.61
45 	 40 	 -1.33   	 0.74
50 	 40 	 -0.61   	 0.87
55 	 40 	 -0.01   	 1.00
60 	 40 	 0.49   	 1.12
65 	 40 	 0.90   	 1.23
70 	 40 	 1.22   	 1.32
75 	 40 	 1.47   	 1.40
80 	 40 	 1.65   	 1.46
85 	 40 	 1.75   	 1.50
90 	 40 	 1.79   	 1.51
95 	 40 	 1.75   	 1.50
100 	 40 	 1.65   	 1.46
105 	 40 	 1.47   	 1.40
110 	 40 	 1.22   	 1.32
115 	 40 	 0.90   	 1.23
120 	 40 	 0.49   	 1.12
125 	 40 	 -0.01   	 1.00
130 	 40 	 -0.61   	 0.87
135 	 40 	 -1.33   	 0.74
140 	 40 	 -2.17   	 0.61
145 	 40 	 -3.18   	 0.48
150 	 40 	 -4.39   	 0.36
155 	 40 	 -5.86   	 0.26
160 	 40 	 -7.71   	 0.17
165 	 40 	 -10.15   	 0.10
170 	 40 	 -13.62   	 0.04
175 	 40 	 -19.61   	 0.01
180 	 40 	 -999.99   	 0.00
0 	 45 	 -999.99   	 0.00
5 	 45 	 -19.61   	 0.01
10 	 45 	 -13.62   	 0.04
15 	 45 	 -10.15   	 0.10
20 	 45 	 -7.71   	 0.17
25 	 45 	 -5.86   	 0.26
30 	 45 	 -4.39   	 0.36
35 	 45 	 -3.18   	 0.48
40 	 45 	 -2.17   	 0.61
45 	 45 	 -1.33   	 0.74
50 	 45 	 -0.61   	 0.87
55 	 45 	 -0.01   	 1.00
60 	 45 	 0.49   	 1.12
65 	 45 	 0.90   	 1.23
70 	 45 	 1.22   	 1.32
75 	 45 	 1.47   	 1.40
80 	 45 	 1.65   	 1.46
85 	 45 	 1.75   	 1.50
90 	 45 	 1.79   	 1.51
95 	 45 	 1.75   	 1.50
100 	 45 	 1.65   	 1.46
105 	 45 	 1.47   	 1.40
110 	 45 	 1.22   	 1.32
115 	 45 	 0.90   	 1.23
120 	 45 	 0.49   	 1.12
125 	 45 	 -0.01   	 1.00
130 	 45 	 -0.61   	 0.87
135 	 45 	 -1.33   	 0.74
140 	 45 	 -2.17   	 0.61
145 	 45 	 -3.18   	 0.48
150 	 45 	 -4.39   	 0.36
155 	 45 	 -5.86   	 0.26
160 	 45 	 -7.71   	 0.17
165 	 45 	 -10.15   	 0.10
170 	 45 	 -13.62   	 0.04
175 	 45 	 -19.61   	 0.01
180 	 45 	 -999.99   	 0.00
0 	 50 	 -999.99   	 0.00
5 	 50 	 -19.61   	 0.01
10 	 50 	 -13.62   	 0.04
15 	 50 	 -10.15   	 0.10
20 	 50 	 -7.71   	 0.17
25 	 50 	 -5.86   	 0.26
30 	 50 	 -4.39   	 0.36
35 	 50 	 -3.18   	 0.48
40 	 50 	 -2.17   	 0.61
45 	 50 	 -1.33   	 0.74
50 	 50 	 -0.61   	 0.87
55 	 50 	 -0.01   	 1.00
60 	 50 	 0.49   	 1.12
65 	 50 	 0.90   	 1.23
70 	 50 	 1.22   	 1.32
75 	 50 	 1.47   	 1.40
80 	 50 	 1.65   	 1.46
85 	 50 	 1.75   	 1.50
90 	 50 	 1.79   	 1.51
95 	 50 	 1.75   	 1.50
100 	 50 	 1.65   	 1.46
105 	 50 	 1.47   	 1.40
110 	 50 	 1.22   	 1.32
115 	 50 	 0.90   	 1.23
120 	 50 	 0.49   	 1.12
125 	 50 	 -0.01   	 1.00
130 	 50 	 -0.61   	 0.87
135 	 50 	 -1.33   	 0.74
140 	 50 	 -2.17   	 0.61
145 	 50 	 -3.18   	 0.48
150 	 50 	 -4.39   	 0.36
155 	 50 	 -5.86   	 0.26
160 	 50 	 -7.71   	 0.17
165 	 50 	 -10.15   	 0.10
170 	 50 	 -13.62   	 0.04
175 	 50 	 -19.61   	 0.01
180 	 50 	 -999.99   	 0.00
0 	 55 	 -999.99   	 0.00
5 	 55 	 -19.61   	 0.01
10 	 55 	 -13.62   	 0.04
15 	 55 	 -10.15   	 0.10
20 	 55 	 -7.71   	 0.17
25 	 55 	 -5.86   	 0.26
30 	 55 	 -4.39   	 0.36
35 	 55 	 -3.18   	 0.48
40 	 55 	 -2.17   	 0.61
45 	 55 	 -1.33   	 0.74
50 	 55 	 -0.61   	 0.87
55 	 55 	 -0.01   	 1.00
60 	 55 	 0.49   	 1.12
65 	 55 	 0.90   	 1.23
70 	 55 	 1.22   	 1.32
75 	 55 	 1.47   	 1.40
80 	 55 	 1.65   	 1.46
85 	 55 	 1.75   	 1.50
90 	 55 	 1.79   	 1.51
95 	 55 	 1.75   	 1.50
100 	 55 	 1.65   	 1.46
105 	 55 	 1.47   	 1.40
110 	 55 	 1.22   	 1.32
115 	 55 	 0.90   	 1.23
120 	 55 	 0.49   	 1.12
125 	 55 	 -0.01   	 1.00
130 	 55 	 -0.61   	 0.87
135 	 55 	 -1.33   	 0.74
140 	 55 	 -2.17   	 0.61
145 	 55 	 -3.18   	 0.48
150 	 55 	 -4.39   	 0.36
155 	 55 	 -5.86   	 0.26
160 	 55 	 -7.71   	 0.17
165 	 55 	 -10.15   	 0.10
170 	 55 	 -13.62   	 0.04
175 	 55 	 -19.61   	 0.01
180 	 55 	 -999.99   	 0.00
0 	 60 	 -999.99   	 0.00
5 	 60 	 -19.61   	 0.01
10 	 60 	 -13.62   	 0.04
15 	 60 	 -10.15   	 0.10
20 	 60 	 -7.71   	 0.17
25 	 60 	 -5.86   	 0.26
30 	 60 	 -4.39   	 0.36
35 	 60 	 -3.18   	 0.48
40 	 60 	 -2.17   	 0.61
45 	 60 	 -1.33   	 0.74
50 	 60 	 -0.61   	 0.87
55 	 60 	 -0.01   	 1.00
60 	 60 	 0.49   	 1.12
65 	 60 	 0.90   	 1.23
70 	 60 	 1.22   	 1.32
75 	 60 	 1.47   	 1.40
80 	 60 	 1.65   	 1.46
85 	 60 	 1.75   	 1.50
90 	 60 	 1.79   	 1.51
95 	 60 	 1.75   	 1.50
100 	 60 	 1.65   	 1.46
105 	 60 	 1.47   	 1.40
110 	 60 	 1.22   	 1.32
115 	 60 	 0.90   	 1.23
120 	 60 	 0.49   	 1.12
125 	 60 	 -0.01   	 1.00
130 	 60 	 -0.61   	 0.87
135 	 60 	 -1.33   	 0.74
140 	 60 	 -2.17   	 0.61
145 	 60 	 -3.18   	 0.48
150 	 60 	 -4.39   	 0.36
155 	 60 	 -5.86   	 0.26
160 	 60 	 -7.71   	 0.17
165 	 60 	 -10.15   	 0.10
170 	 60 	 -13.62   	 0.04
175 	 60 	 -19.61   	 0.01
180 	 60 	 -999.99   	 0.00
0 	 65 	 -999.99   	 0.00
5 	 65 	 -19.61   	 0.01
10 	 65 	 -13.62   	 0.04
15 	 65 	 -10.15   	 0.10
20 	 65 	 -7.71   	 0.17
25 	 65 	 -5.86   	 0.26
30 	 65 	 -4.39   	 0.36
35 	 65 	 -3.18   	 0.48
40 	 65 	 -2.17   	 0.61
45 	 65 	 -1.33   	 0.74
50 	 65 	 -0.61   	 0.87
55 	 65 	 -0.01   	 1.00
60 	 65 	 0.49   	 1.12
65 	 65 	 0.90   	 1.23
70 	 65 	 1.22   	 1.32
75 	 65 	 1.47   	 1.40
80 	 65 	 1.65   	 1.46
85 	 65 	 1.75   	 1.50
90 	 65 	 1.79   	 1.51
95 	 65 	 1.75   	 1.50
100 	 65 	 1.65   	 1.46
105 	 65 	 1.47   	 1.40
110 	 65 	 1.22   	 1.32
115 	 65 	 0.90   	 1.23
120 	 65 	 0.49   	 1.12
125 	 65 	 -0.01   	 1.00
130 	 65 	 -0.61   	 0.87
135 	 65 	 -1.33   	 0.74
140 	 65 	 -2.17   	 0.61
145 	 65 	 -3.18   	 0.48
150 	 65 	 -4.39   	 0.36
155 	 65 	 -5.86   	 0.26
160 	 65 	 -7.71   	 0.17
165 	 65 	 -10.15   	 0.10
170 	 65 	 -13.62   	 0.04
175 	 65 	 -19.61   	 0.01
180 	 65 	 -999.99   	 0.00
0 	 70 	 -999.99   	 0.00
5 	 70 	 -19.61   	 0.01
10 	 70 	 -13.62   	 0.04
15 	 70 	 -10.15   	 0.10
20 	 70 	 -7.71   	 0.17
25 	 70 	 -5.86   	 0.26
30 	 70 	 -4.39   	 0.36
35 	 70 	 -3.18   	 0.48
40 	 70 	 -2.17   	 0.61
45 	 70 	 -1.33   	 0.74
50 	 70 	 -0.61   	 0.87
55 	 70 	 -0.01   	 1.00
60 	 70 	 0.49   	 1.12
65 	 70 	 0.90   	 1.23
70 	 70 	 1.22   	 1.32
75 	 70 	 1.47   	 1.40
80 	 70 	 1.65   	 1.46
85 	 70 	 1.75   	 1.50
90 	 70 	 1.79   	 1.51
95 	 70 	 1.75   	 1.50
100 	 70 	 1.65   	 1.46
105 	 70 	 1.47   	 1.40
110 	 70 	 1.22   	 1.32
115 	 70 	 0.90   	 1.23
120 	 70 	 0.49   	 1.12
125 	 70 	 -0.01   	 1.00
130 	 70 	 -0.61   	 0.87
135 	 70 	 -1.33   	 0.74
140 	 70 	 -2.17   	 0.61
145 	 70 	 -3.18   	 0.48
150 	 70 	 -4.39   	 0.36
155 	 70 	 -5.86   	 0.26
160 	 70 	 -7.71   	 0.17
165 	 70 	 -10.15   	 0.10
170 	 70 	 -13.62   	 0.04
175 	 70 	 -19.61   	 0.01
180 	 70 	 -999.99   	 0.00
0 	 75 	 -999.99   	 0.00
5 	 75 	 -19.61   	 0.01
10 	 75 	 -13.62   	 0.04
15 	 75 	 -10.15   	 0.10
20 	 75 	 -7.71   	 0.17
25 	 75 	 -5.86   	 0.26
30 	 75 	 -4.39   	 0.36
35 	 75 	 -3.18   	 0.48
40 	 75 	 -2.17   	 0.61
45 	 75 	 -1.33   	 0.74
50 	 75 	 -0.61   	 0.87
55 	 75 	 -0.01   	 1.00
60 	 75 	 0.49   	 1.12
65 	 75 	 0.90   	 1.23
70 	 75 	 1.22   	 1.32
75 	 75 	 1.47   	 1.40
80 	 75 	 1.65   	 1.46
85 	 75 	 1.75   	 1.50
90 	 75 	 1.79   	 1.51
95 	 75 	 1.75   	 1.50
100 	 75 	 1.65   	 1.46
105 	 75 	 1.47   	 1.40
110 	 75 	 1.22   	 1.32
115 	 75 	 0.90   	 1.23
120 	 75 	 0.49   	 1.12
125 	 75 	 -0.01   	 1.00
130 	 75 	 -0.61   	 0.87
135 	 75 	 -1.33   	 0.74
140 	 75 	 -2.17   	 0.61
145 	 75 	 -3.18   	 0.48
150 	 75 	 -4.39   	 0.36
155 	 75 	 -5.86   	 0.26
160 	 75 	 -7.71   	 0.17
165 	 75 	 -10.15   	 0.10
170 	 75 	 -13.62   	 0.04
175 	 75 	 -19.61   	 0.01
180 	 75 	 -999.99   	 0.00
0 	 80 	 -999.99   	 0.00
5 	 80 	 -19.61   	 0.01
10 	 80 	 -13.62   	 0.04
15 	 80 	 -10.15   	 0.10
20 	 80 	 -7.71   	 0.17
25 	 80 	 -5.86   	 0.26
30 	 80 	 -4.39   	 0.36
35 	 80 	 -3.18   	 0.48
40 	 80 	 -2.17   	 0.61
45 	 80 	 -1.33   	 0.74
50 	 80 	 -0.61   	 0.87
55 	 80 	 -0.01   	 1.00
60 	 80 	 0.49   	 1.12
65 	 80 	 0.90   	 1.23
70 	 80 	 1.22   	 1.32
75 	 80 	 1.47   	 1.40
80 	 80 	 1.65   	 1.46
85 	 80 	 1.75   	 1.50
90 	 80 	 1.79   	 1.51
95 	 80 	 1.75   	 1.50
100 	 80 	 1.65   	 1.46
105 	 80 	 1.47   	 1.40
110 	 80 	 1.22   	 1.32
115 	 80 	 0.90   	 1.23
120 	 80 	 0.49   	 1.12
125 	 80 	 -0.01   	 1.00
130 	 80 	 -0.61   	 0.87
135 	 80 	 -1.33   	 0.74
140 	 80 	 -2.17   	 0.61
145 	 80 	 -3.18   	 0.48
150 	 80 	 -4.39   	 0.36
155 	 80 	 -5.86   	 0.26
160 	 80 	 -7.71   	 0.17
165 	 80 	 -10.15   	 0.10
170 	 80 	 -13.62   	 0.04
175 	 80 	 -19.61   	 0.01
180 	 80 	 -999.99   	 0.00
0 	 85 	 -999.99   	 0.00
5 	 85 	 -19.61   	 0.01
10 	 85 	 -13.62   	 0.04
15 	 85 	 -10.15   	 0.10
20 	 85 	 -7.71   	 0.17
25 	 85 	 -5.86   	 0.26
30 	 85 	 -4.39   	 0.36
35 	 85 	 -3.18   	 0.48
40 	 85 	 -2.17   	 0.61
45 	 85 	 -1.33   	 0.74
50 	 85 	 -0.61   	 0.87
55 	 85 	 -0.01   	 1.00
60 	 85 	 0.49   	 1.12
65 	 85 	 0.90   	 1.23
70 	 85 	 1.22   	 1.32
75 	 85 	 1.47   	 1.40
80 	 85 	 1.65   	 1.46
85 	 85 	 1.75   	 1.50
90 	 85 	 1.79   	 1.51
95 	 85 	 1.75   	 1.50
100 	 85 	 1.65   	 1.46
105 	 85 	 1.47   	 1.40
110 	 85 	 1.22   	 1.32
115 	 85 	 0.90   	 1.23
120 	 85 	 0.49   	 1.12
125 	 85 	 -0.01   	 1.00
130 	 85 	 -0.61   	 0.87
135 	 85 	 -1.33   	 0.74
140 	 85 	 -2.17   	 0.61
145 	 85 	 -3.18   	 0.48
150 	 85 	 -4.39   	 0.36
155 	 85 	 -5.86   	 0.26
160 	 85 	 -7.71   	 0.17
165 	 85 	 -10.15   	 0.10
170 	 85 	 -13.62   	 0.04
175 	 85 	 -19.61   	 0.01
180 	 85 	 -999.99   	 0.00
0 	 90 	 -999.99   	 0.00
5 	 90 	 -19.61   	 0.01
10 	 90 	 -13.62   	 0.04
15 	 90 	 -10.15   	 0.10
20 	 90 	 -7.71   	 0.17
25 	 90 	 -5.86   	 0.26
30 	 90 	 -4.39   	 0.36
35 	 90 	 -3.18   	 0.48
40 	 90 	 -2.17   	 0.61
45 	 90 	 -1.33   	 0.74
50 	 90 	 -0.61   	 0.87
55 	 90 	 -0.01   	 1.00
60 	 90 	 0.49   	 1.12
65 	 90 	 0.90   	 1.23
70 	 90 	 1.22   	 1.32
75 	 90 	 1.47   	 1.40
80 	 90 	 1.65   	 1.46
85 	 90 	 1.75   	 1.50
90 	 90 	 1.79   	 1.51
95 	 90 	 1.75   	 1.50
100 	 90 	 1.65   	 1.46
105 	 90 	 1.47   	 1.40
110 	 90 	 1.22   	 1.32
115 	 90 	 0.90   	 1.23
120 	 90 	 0.49   	 1.12
125 	 90 	 -0.01   	 1.00
130 	 90 	 -0.61   	 0.87
135 	 90 	 -1.33   	 0.74
140 	 90 	 -2.17   	 0.61
145 	 90 	 -3.18   	 0.48
150 	 90 	 -4.39   	 0.36
155 	 90 	 -5.86   	 0.26
160 	 90 	 -7.71   	 0.17
165 	 90 	 -10.15   	 0.10
170 	 90 	 -13.62   	 0.04
175 	 90 	 -19.61   	 0.01
180 	 90 	 -999.99   	 0.00
0 	 95 	 -999.99   	 0.00
5 	 95 	 -19.61   	 0.01
10 	 95 	 -13.62   	 0.04
15 	 95 	 -10.15   	 0.10
20 	 95 	 -7.71   	 0.17
25 	 95 	 -5.86   	 0.26
30 	 95 	 -4.39   	 0.36
35 	 95 	 -3.18   	 0.48
40 	 95 	 -2.17   	 0.61
45 	 95 	 -1.33   	 0.74
50 	 95 	 -0.61   	 0.87
55 	 95 	 -0.01   	 1.00
60 	 95 	 0.49   	 1.12
65 	 95 	 0.90   	 1.23
70 	 95 	 1.22   	 1.32
75 	 95 	 1.47   	 1.40
80 	 95 	 1.65   	 1.46
85 	 95 	 1.75   	 1.50
90 	 95 	 1.79   	 1.51
95 	 95 	 1.75   	 1.50
100 	 95 	 1.65   	 1.46
105 	 95 	 1.47   	 1.40
110 	 95 	 1.22   	 1.32
115 	 95 	 0.90   	 1.23
120 	 95 	 0.49   	 1.12
125 	 95 	 -0.01   	 1.00
130 	 95 	 -0.61   	 0.87
135 	 95 	 -1.33   	 0.74
140 	 95 	 -2.17   	 0.61
145 	 95 	 -3.18   	 0.48
150 	 95 	 -4.39   	 0.36
155 	 95 	 -5.86   	 0.26
160 	 95 	 -7.71   	 0.17
165 	 95 	 -10.15   	 0.10
170 	 95 	 -13.62   	 0.04
175 	 95 	 -19.61   	 0.01
180 	 95 	 -999.99   	 0.00
0 	 100 	 -999.99   	 0.00
5 	 100 	 -19.61   	 0.01
10 	 100 	 -13.62   	 0.04
15 	 100 	 -10.15   	 0.10
20 	 100 	 -7.71   	 0.17
